Region,District,Geographic_Zone,Latitude,Longitude,Altitude_m,Tree_Growth_Habitat,DBH_mm,Height_m,Crown_Diameter_m,Trunk_Diameter_m,Farm_Cultivated,Topography,Soil_Texture,Uses_Fruit,Uses_Leaf,Uses_Stem,Uses_Root,Uses_Seed,Target_Food,Target_Beverage,Target_Medicine
Northern,District_10,Southern_Zone,6.67,-1.573,363.382,Spreading,"3,037.07",22.997,14.656,3.35,Parkland,Plateau,Sandy clay,1,1,0,0,0,0,0,1
Northern,District_2,Northern_Zone,7.155,-1.104,97.44,Drooping,"3,218.16",23.209,18.274,5,Unknown,Hilly,Silty clay,0,1,1,0,0,0,0,1
Northern,District_10,Middle_Zone,8.549,-2.224,233.33,Erect,"3,076.43",23.686,17.167,5.056,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Clay,1,0,0,0,0,0,1,0
Northern,District_2,Southern_Zone,6.734,-2.311,104.878,Spreading,"2,316.38",12.451,12.551,5.894,Parkland,Valley,Loam,0,0,1,1,0,0,0,0
Northern,District_10,Northern_Zone,7.509,-1.251,325.887,Drooping,"4,294.96",20.063,12.13,2.598,Unknown,Undulating,Sandy clay loam,0,1,1,0,1,0,1,0
Northern,District_2,Middle_Zone,10.901,-2.195,383.781,Erect,"2,878.60",11.952,11.622,3.432,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Plateau,Sandy clay,1,1,1,0,0,0,1,0
Northern,District_10,Southern_Zone,8.214,-0.188,109.344,Spreading,"4,165.94",21.566,12.748,2.931,Parkland,Hilly,Silty clay,1,1,0,0,0,0,0,0
Oti,District_8,Middle_Zone,7.825,-2.961,325.136,Erect,"2,550.43",15.876,13.436,4.046,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Hilly,Silty clay,0,1,0,0,0,0,1,1
Oti,District_16,Southern_Zone,9.794,-1.505,321.437,Spreading,"2,054.52",22.814,16.872,2.232,Parkland,Flat land,Clay,1,1,1,0,0,0,1,1
Oti,District_8,Northern_Zone,6.543,0.785,294.143,Drooping,"4,418.89",19.57,10.473,4.769,Unknown,Valley,Loam,1,1,0,0,0,0,0,1
Oti,District_16,Middle_Zone,9.252,-1.018,41.565,Erect,"3,958.89",17.34,13.696,4.685,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Undulating,Sandy clay loam,1,1,0,0,1,0,1,0
Oti,District_8,Southern_Zone,6.833,-1.57,304.162,Spreading,"4,852.42",24.875,15.499,5.229,Parkland,Plateau,Sandy clay,1,1,0,0,0,0,1,1
Oti,District_16,Northern_Zone,6.706,0.124,188.583,Drooping,"2,227.66",19.875,19.907,5.824,Unknown,Hilly,Silty clay,1,1,0,0,0,0,1,0
Oti,District_8,Middle_Zone,8.135,-0.333,304.901,Erect,"2,106.69",11.669,17.672,5.57,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Flat land,Clay,0,1,1,0,0,0,1,0
Savannah,District_5,Middle_Zone,7.429,-2.556,234.274,Erect,"4,522.70",14.488,11.744,2.082,Woodlot,Plateau,Sandy,1,0,0,0,0,0,0,1
Savannah,District_13,Southern_Zone,9.921,-0.022,319.724,Spreading,"4,546.80",15.148,12.44,4.011,Fallow land,Hilly,Clay loam,1,1,0,0,0,0,0,0
Savannah,District_5,Northern_Zone,9.501,-2.072,384.421,Drooping,"4,010.20",10.484,9.823,5.346,Cropland,Flat land,Sandy loam,0,1,0,0,0,0,0,1
Savannah,District_13,Middle_Zone,10.468,-0.905,303.005,Erect,"2,612.25",17.874,8.415,2.493,Woodlot,Valley,Loamy sand,1,1,1,0,0,0,1,0
Savannah,District_5,Southern_Zone,8.186,-1.449,249.212,Spreading,"4,248.21",12.477,18.673,5.073,Fallow land,Undulating,Silty loam,1,1,0,0,0,0,0,0
Savannah,District_13,Northern_Zone,8.911,-0.133,195.016,Drooping,"3,473.41",24.549,17.213,3.711,Cropland,Plateau,Sandy,1,1,1,0,0,0,0,0
Savannah,District_5,Middle_Zone,6.192,0.365,361.571,Erect,"3,851.83",23.618,17.753,5.502,Woodlot,Hilly,Clay loam,1,1,1,0,0,0,1,0
Upper East,District_3,Northern_Zone,6.67,-0.327,360.069,Drooping,"2,317.97",11.755,18.263,4.249,Cropland,Hilly,Clay loam,1,0,1,0,1,0,1,1
Upper East,District_11,Middle_Zone,7.878,-1.649,147.416,Erect,"2,316.09",15.705,19.394,2.663,Woodlot,Flat land,Sandy loam,0,1,1,0,0,0,1,0
Upper East,District_3,Southern_Zone,9.635,-0.827,355.928,Spreading,"4,833.75",14.087,18.844,4.637,Fallow land,Valley,Loamy sand,1,1,0,1,0,0,0,0
Upper East,District_11,Northern_Zone,6.041,0.866,298.262,Drooping,"3,416.35",11.506,9.315,4.727,Cropland,Undulating,Silty loam,1,1,0,0,0,0,0,0
Upper East,District_3,Middle_Zone,8.163,-0.94,51.49,Erect,"2,496.24",22.229,18.186,4.087,Woodlot,Plateau,Sandy,0,1,1,0,0,0,0,0
Upper East,District_11,Southern_Zone,8.848,-2.402,346.265,Spreading,"3,427.77",21.368,10.992,2.027,Fallow land,Hilly,Clay loam,1,1,0,0,0,0,0,0
Upper East,District_3,Northern_Zone,7.26,-2.307,291.183,Drooping,"2,248.27",10.872,8.819,2.153,Cropland,Flat land,Sandy loam,1,1,1,0,0,0,1,0
Upper East,District_11,Middle_Zone,7.675,0.779,109.183,Erect,"3,006.45",13.03,17.09,5.142,Woodlot,Valley,Loamy sand,0,0,1,1,0,0,1,0
Upper West,District_4,Southern_Zone,7.979,-0.692,289.903,Spreading,"4,957.66",21.984,17.682,4.556,Parkland,Valley,Loam,0,1,0,0,0,0,0,1
Upper West,District_12,Northern_Zone,10.946,-2.278,219.903,Drooping,"2,660.70",24.626,14.319,3.676,Unknown,Undulating,Sandy clay loam,0,1,0,0,0,0,1,1
Upper West,District_4,Middle_Zone,10.68,-0.688,237.08,Erect,"3,081.03",15.575,11.08,4.602,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Plateau,Sandy clay,1,1,0,0,0,0,1,0
Upper West,District_12,Southern_Zone,8.144,-0.524,86.094,Spreading,"2,677.09",14.875,14.049,4.941,Parkland,Hilly,Silty clay,1,1,1,0,1,0,1,0
Upper West,District_4,Northern_Zone,8.208,-0.047,219.672,Drooping,"2,451.83",23.9,19.717,4.401,Unknown,Flat land,Clay,0,1,0,0,0,0,0,1
Upper West,District_12,Middle_Zone,7.826,-0.872,345.832,Erect,"3,913.47",12.573,16.038,2.343,"Backyard, kitchen or home garden (urban, peri-urban or rural)",Valley,Loam,1,1,0,0,0,0,0,0
Upper West,District_4,Southern_Zone,10.223,0.473,148.238,Spreading,"2,723.10",21.528,11.551,3.489,Parkland,Undulating,Sandy clay loam,0,0,0,0,0,0,1,1
Upper West,District_12,Northern_Zone,7.85,-1.261,52.071,Drooping,"2,937.03",18.407,17.373,4.661,Unknown,Plateau,Sandy clay,1,1,0,0,0,0,1,0
Volta,District_9,Northern_Zone,6.976,-2.185,116.814,Drooping,"3,405.80",18.093,11.913,5.07,Cropland,Valley,Loamy sand,1,1,0,0,0,0,0,0
Volta,District_1,Middle_Zone,6.425,0.38,366.113,Erect,"2,463.98",20.052,10.444,4.545,Woodlot,Undulating,Silty loam,1,1,0,0,0,0,1,1
Volta,District_9,Southern_Zone,9.282,-1.493,115.673,Spreading,"4,387.74",10.262,13.31,2.589,Fallow land,Plateau,Sandy,1,0,1,0,0,0,1,0
Volta,District_1,Northern_Zone,9.407,-2.309,317.837,Drooping,"4,013.09",11.281,15.354,3.045,Cropland,Hilly,Clay loam,0,1,0,0,0,0,0,0
Volta,District_9,Middle_Zone,6.625,0.53,317.1,Erect,"2,571.64",11.318,9.796,2.775,Woodlot,Flat land,Sandy loam,1,1,0,0,0,0,0,1
Volta,District_1,Southern_Zone,7.899,-1.831,274.498,Spreading,"3,311.30",10.71,18.061,3.647,Fallow land,Valley,Loamy sand,0,1,0,0,0,0,1,1
Volta,District_9,Northern_Zone,10.732,-0.576,223.904,Drooping,"3,164.83",17.458,14.448,2.739,Cropland,Undulating,Silty loam,1,1,0,0,0,0,0,0
Volta,District_8,Middle_Zone,9.475,-2.149,230.734,Erect,"3,692.79",26.037,17.978,6.284,Cropland,Hilly,Silty clay,1,1,1,1,1,1,0,1
Volta,District_16,Southern_Zone,8.21,-0.985,107.315,Spreading,"4,911.93",16.241,17.861,3.518,Fallow land,Flat land,Clay,1,1,0,0,1,1,0,1
Volta,District_8,Northern_Zone,7.002,-2.632,112.817,Drooping,"2,951.30",22.82,20.629,5.218,Unknown,Valley,Loam,1,1,1,0,1,1,1,1
Western,District_4,Southern_Zone,8.529,-1.378,171.632,Spreading,"3,375.43",29.693,20.4,7.689,Fallow land,Valley,Loam,1,1,0,1,1,1,1,1
Western,District_12,Northern_Zone,7.002,-0.144,125.057,Drooping,"4,389.60",20.541,19.824,5.116,Unknown,Undulating,Sandy clay loam,1,1,0,1,0,1,0,1
Western,District_4,Middle_Zone,8.901,-0.933,262.035,Erect,"3,085.20",24.886,21.422,3.326,Cropland,Plateau,Sandy clay,1,1,1,1,0,1,1,1
Western,District_12,Southern_Zone,9.946,0.782,151.276,Spreading,"2,942.59",21.634,15.389,5.366,Fallow land,Hilly,Silty clay,0,1,0,1,0,1,1,1
