latitude,longitude,altitude,Drainage,Height,crown_diameter,trunk_diameter,dbh,taste_attribute,medicine_use,stem_used,crown_height_ratio,canopy_area_m2,trunk_height_ratio,volume_proxy,plant_use_count,parts_used_count,dbh_height_ratio,trunk_crown_ratio,height_crown_product,dbh_category,height_category,total_special_attributes,target
6.378,-1.394,142.349,1,22.438,22.296,8.015,"4,109.14",0,0,0,1.438,466.347,0.605,"7,740.90",1,1,197.478,0.308,300.166,0,0,0,1
10.774,-2.019,244.118,1,8.163,15.52,4.693,394.11,0,1,1,1.142,68.045,0.576,"1,163.39",2,3,47.075,0.374,58.46,0,0,1,1
10.959,-1.099,234.042,1,7,12.65,3.4,280,0,0,0,1.807,125.681,0.486,879.77,1,2,40,0.269,88.55,0,0,0,1
10.843,-1.032,205.263,1,8,15.3,5.2,45,1,0,0,1.912,183.854,0.65,"1,470.83",1,2,5.63,0.34,122.4,0,0,1,1
10.485,-1.884,264.168,1,8.28,21.011,8.038,422.187,0,0,0,1.866,181.095,0.707,"3,293.34",1,1,64.634,0.387,67.884,0,0,0,1
10.413,-2.038,295.359,1,8.26,20.115,7.348,699.356,0,0,0,2.052,209.136,0.755,"2,978.47",1,1,69.352,0.387,235.083,0,0,0,1
6.606,0.454,232.923,2,27,15,4,"4,000",0,1,1,0.556,176.715,0.148,"4,771.29",2,3,148.15,0.267,405,2,2,1,1
10.854,-0.73,217.152,1,6.043,15.552,5.356,368.177,1,0,0,2.352,196.985,0.833,"1,371.17",1,2,52.11,0.333,109.473,0,0,1,1
10.836,-1.337,216.688,1,8.738,16.72,6.643,624.088,0,1,1,1.921,226.495,0.697,"1,951.04",2,3,68.609,0.284,147.361,0,0,1,1
10.833,-1.648,332.433,1,7.906,15.844,4.525,529.32,0,1,0,2.185,207.467,0.672,"1,742.43",2,1,75.905,0.373,114.194,0,0,1,1
10.959,-1.1,232.781,1,20,17.8,5.8,530,0,0,0,0.89,248.846,0.29,"4,976.91",1,2,26.5,0.326,356,0,1,0,2
8.15,-2.096,141.577,1,23,18,4,"3,100",0,1,0,0.783,254.469,0.174,"5,852.79",2,2,134.78,0.222,414,2,1,1,2
7.719,-2.808,390.337,1,18,16,2,"2,000",0,1,0,0.889,201.062,0.111,"3,619.12",2,1,111.11,0.125,288,1,1,1,2
8.096,-1.907,145.142,1,21,15,3.1,"3,100",0,1,0,0.714,176.715,0.148,"3,711.01",2,2,147.62,0.207,315,2,1,1,2
10.794,-0.859,246.723,1,12,18.3,7.5,730,0,0,0,1.525,263.022,0.625,"3,156.26",1,1,60.83,0.41,219.6,0,0,0,2
6.509,0.249,157.329,1,38,17,10,"10,000",0,0,0,0.447,226.98,0.263,"8,625.24",1,2,263.16,0.588,646,2,2,0,2
6.243,0.895,87.762,2,32,13,5,"5,000",0,0,0,0.406,132.732,0.156,"4,247.43",1,1,156.25,0.385,416,2,2,0,2
10.367,-2.038,246.491,2,12,23.8,9.5,810,0,0,0,1.983,444.881,0.792,"5,338.57",1,1,67.5,0.399,285.6,0,0,0,2
7.942,-2.696,384.097,2,17,12,2,"2,000",0,1,1,0.706,113.097,0.118,"1,922.66",2,3,117.65,0.167,204,1,1,1,2
10.796,-0.794,252.402,1,7,21.2,9.8,860,0,1,0,3.029,352.989,1.4,"2,470.93",2,1,122.86,0.462,148.4,0,0,1,2
8.15,-2.079,146.127,1,20,16,2.9,"2,900",0,1,0,0.8,201.062,0.145,"4,021.24",2,2,145,0.181,320,1,1,1,2
7.698,-1.72,365.159,2,19,10,2.1,"2,100",0,0,0,0.526,78.54,0.111,"1,492.26",1,2,110.53,0.21,190,1,1,0,2
8.142,-2.373,272.826,2,22,24,5.4,"5,400",0,1,0,1.091,452.389,0.245,"9,952.57",2,2,245.45,0.225,528,2,1,1,2
10.359,-2.237,333.533,1,15,27.75,14.4,"1,365",0,1,1,1.85,604.806,0.96,"9,072.09",2,3,91,0.519,416.25,1,1,1,2
6.148,0.224,60.645,2,22,16,4,"4,000",0,0,0,0.727,201.062,0.182,"4,423.36",1,2,181.82,0.25,352,2,1,0,2
6.563,0.622,142.392,1,22,12,3,"3,000",0,0,0,0.545,113.097,0.136,"2,488.14",1,1,136.36,0.25,264,2,1,0,2
6.148,0.224,56.545,2,19,10,3,"3,000",0,0,0,0.526,78.54,0.158,"1,492.26",1,2,157.89,0.3,190,2,1,0,2
10.987,-0.214,267.87,1,10,16.2,7.8,570,0,0,0,1.62,206.12,0.78,"2,061.20",1,1,57,0.481,162,0,0,0,2
8.15,-2.098,163.178,1,18,13,2.7,"2,700",0,1,0,0.722,132.732,0.15,"2,389.18",2,2,150,0.208,234,1,1,1,2
6.185,0.206,71.107,1,23,12,4,"4,000",0,0,0,0.522,113.097,0.174,"2,601.24",1,2,173.91,0.333,276,2,1,0,2
7.638,-1.724,353.712,2,19,17,4,"3,400",0,0,0,0.895,226.98,0.211,"4,312.62",1,2,178.95,0.235,323,2,1,0,2
8.15,-2.098,161.923,1,23,15,2.8,"2,800",0,1,0,0.652,176.715,0.122,"4,064.44",2,2,121.74,0.187,345,1,1,1,2
6.227,0.183,87.74,2,23,12,3,"3,000",0,0,0,0.522,113.097,0.13,"2,601.24",1,2,130.43,0.25,276,2,1,0,2
10.367,-2.034,236.21,1,12,19.1,7,590,0,0,0,1.592,286.521,0.583,"3,438.25",1,2,49.17,0.366,229.2,0,0,0,2
10.99,-0.213,272.303,0,8,13,4.5,390,0,0,0,1.625,132.732,0.562,"1,061.86",1,1,48.75,0.346,104,0,0,0,2
7.816,-1.753,341.916,1,20,16,2.9,"2,900",0,1,0,0.8,201.062,0.145,"4,021.24",2,2,145,0.181,320,1,1,1,2
6.149,0.224,53.652,2,36,14,3,"3,000",0,0,0,0.389,153.938,0.083,"5,541.77",1,2,83.33,0.214,504,2,2,0,2
6.45,0.212,133.247,2,23,16,3,"3,000",0,0,0,0.696,201.062,0.13,"4,624.42",1,2,130.43,0.188,368,2,1,0,2
6.519,0.714,107.313,2,28,12,7,"7,000",0,0,0,0.429,113.097,0.25,"3,166.73",1,2,250,0.583,336,2,2,0,2
8.15,-2.097,143.346,1,21,15,2.9,"2,900",0,1,0,0.714,176.715,0.138,"3,711.01",2,2,138.1,0.193,315,1,1,1,2
6.519,0.715,106.082,2,30,13,5,"5,000",0,0,0,0.433,132.732,0.167,"3,981.97",1,2,166.67,0.385,390,2,2,0,2
8.148,-2.089,142.408,1,21,17,2.9,"2,900",0,1,0,0.81,226.98,0.138,"4,766.58",2,2,138.1,0.171,357,1,1,1,2
11.002,-0.22,249.491,1,8,13.8,6.7,640,0,0,0,1.725,149.571,0.837,"1,196.57",1,2,80,0.486,110.4,0,0,0,2
6.448,0.724,111.151,1,19,11,3,"3,000",1,0,0,0.579,95.033,0.158,"1,805.63",1,2,157.89,0.273,209,2,1,1,2
6.243,0.111,64.971,2,31,19,9,"9,000",0,0,0,0.613,283.529,0.29,"8,789.39",1,2,290.32,0.474,589,2,2,0,2
6.149,0.225,72.503,2,15,13,2,"2,000",0,0,0,0.867,132.732,0.133,"1,990.98",1,2,133.33,0.154,195,1,1,0,2
8.15,-2.098,163.204,1,21,14,2.4,"2,400",0,1,0,0.667,153.938,0.114,"3,232.70",2,2,114.29,0.171,294,1,1,1,2
7.498,-2.881,265.56,2,21,26,5,"5,000",0,1,0,1.238,530.929,0.238,"11,149.51",2,2,238.1,0.192,546,2,1,1,2
8.148,-2.089,146.451,1,21,16,3,"3,000",0,1,0,0.762,201.062,0.143,"4,222.30",2,2,142.86,0.188,336,2,1,1,2
6.397,0.79,114.57,1,36,12,8,"8,000",1,1,0,0.333,113.097,0.222,"4,071.50",2,2,222.22,0.667,432,2,2,2,2
7.71,-1.694,372.595,2,18,15,3.1,"3,100",0,1,0,0.833,176.715,0.172,"3,180.86",2,2,172.22,0.207,270,2,1,1,2
7.822,-1.759,349.893,1,20,15,3.1,"3,100",0,0,0,0.75,176.715,0.155,"3,534.29",1,2,155,0.207,300,2,1,0,2
8.149,-2.076,144.934,1,22,14,2.6,"2,600",0,1,0,0.636,153.938,0.118,"3,386.64",2,2,118.18,0.186,308,1,1,1,2
7.953,-2.694,386.275,2,20,19,3.5,"3,500",0,1,1,0.95,283.529,0.175,"5,670.58",2,3,175,0.184,380,2,1,1,2
6.576,0.419,195.3,2,25,18,3,"3,000",0,0,0,0.72,254.469,0.12,"6,361.73",1,1,120,0.167,450,2,2,0,2
6.234,0.185,114.395,1,23,16,2.5,"2,500",0,0,0,0.696,201.062,0.109,"4,624.42",1,2,108.7,0.156,368,1,1,0,2
6.268,0.893,75.455,1,27,12,3,"3,000",0,0,0,0.444,113.097,0.111,"3,053.63",1,2,111.11,0.25,324,2,2,0,2
6.563,0.623,143.346,2,27,14,3,"3,000",0,0,0,0.519,153.938,0.111,"4,156.33",1,2,111.11,0.214,378,2,2,0,2
6.24,0.093,44.896,1,31,22,8,"8,000",1,1,1,0.71,380.133,0.258,"11,784.11",2,3,258.06,0.364,682,2,2,2,2
10.965,-1.102,240.127,1,9,18.8,9.2,810,0,0,0,2.089,277.591,1.022,"2,498.32",1,2,90,0.489,169.2,0,0,0,2
10.844,-1.032,229.128,1,4,10.3,3.5,275,0,0,0,2.575,83.323,0.875,333.292,1,2,68.75,0.34,41.2,0,0,0,2
6.058,-0.028,131.108,1,18,12,5,"5,000",1,1,0,0.667,113.097,0.278,"2,035.75",2,2,277.78,0.417,216,2,1,2,2
6.147,0.224,51.601,1,32,19,6,"6,000",0,0,0,0.594,283.529,0.187,"9,072.92",1,2,187.5,0.316,608,2,2,0,2
8.388,-2.138,211.168,1,20,12,3,"3,076.38",0,0,0,0.6,113.097,0.15,"2,261.95",1,1,153.82,0.25,240,2,1,0,2
6.52,0.716,97.218,2,32,14,6,"6,000",0,0,0,0.437,153.938,0.187,"4,926.02",1,2,187.5,0.429,448,2,2,0,2
8.091,-1.896,178.548,1,21,11,2.4,"2,400",0,1,1,0.524,95.033,0.114,"1,995.70",2,3,114.29,0.218,231,1,1,1,2
8.301,-2.179,209.617,2,20,14,3.6,"3,600",0,0,0,0.7,153.938,0.18,"3,078.76",1,2,180,0.257,280,2,1,0,2
6.227,0.182,113.3,2,34,22,8,"8,000",0,0,0,0.647,380.133,0.235,"12,924.51",1,2,235.29,0.364,748,2,2,0,2
7.638,-1.724,353.199,1,20,14,2.8,"2,800",0,0,0,0.7,153.938,0.14,"3,078.76",1,2,140,0.2,280,1,1,0,2
8.241,-1.937,127.003,1,19,12,2.4,"2,400",0,1,0,0.632,113.097,0.126,"2,148.85",2,2,126.32,0.2,228,1,1,1,2
8.236,-1.928,131.158,1,20,15,2.3,"2,300",0,1,0,0.75,176.715,0.115,"3,534.29",2,2,115,0.153,300,1,1,1,2
6.235,0.174,102.335,1,25,18,6,"6,000",0,0,0,0.72,254.469,0.24,"6,361.73",1,2,240,0.333,450,2,2,0,2
7.503,-2.915,262.425,2,20,27,3.5,"3,500",0,0,0,1.35,572.555,0.175,"11,451.11",1,2,175,0.13,540,2,1,0,2
8.301,-2.179,212.325,2,19,22,3.5,"3,500",0,0,0,1.158,380.133,0.184,"7,222.52",1,2,184.21,0.159,418,2,1,0,2
6.675,-1.559,301.569,2,13,16,4,"3,000",0,1,1,1.231,201.062,0.308,"2,613.81",2,3,230.77,0.25,208,2,0,1,2
6.213,0.194,97.805,2,31,20,7.5,"7,500",0,0,0,0.645,314.159,0.242,"9,738.94",1,2,241.94,0.375,620,2,2,0,2
11.002,-0.22,230.54,0,9,11.1,6.83,610,1,0,0,1.233,96.769,0.759,870.92,1,2,67.78,0.615,99.9,0,0,1,2
6.563,0.623,143.343,1,28,14,6,"6,000",0,0,0,0.5,153.938,0.214,"4,310.27",1,2,214.29,0.429,392,2,2,0,2
10.934,-0.499,267.453,1,6,7,5,500,0,0,0,1.167,38.485,0.833,230.907,1,2,83.33,0.714,42,0,0,0,2
7.752,-2.809,371.103,1,20,12,1.4,"1,400",0,0,0,0.6,113.097,0.07,"2,261.95",1,2,70,0.117,240,1,1,0,2
6.057,-0.03,112.648,1,15,10,7,"7,000",1,1,0,0.667,78.54,0.467,"1,178.10",2,2,466.67,0.7,150,2,1,2,2
7.985,-2.433,301.846,2,20,16,3,"3,000",0,0,0,0.8,201.062,0.15,"4,021.24",1,2,150,0.188,320,2,1,0,2
6.606,0.454,209.667,2,31,19,6,"6,000",0,1,1,0.613,283.529,0.194,"8,789.39",2,3,193.55,0.316,589,2,2,1,2
8.15,-2.098,144.46,1,20,13,3,"3,000",0,1,0,0.65,132.732,0.15,"2,654.65",2,2,150,0.231,260,2,1,1,2
6.563,0.622,142.695,1,24,16,4,"4,000",0,0,0,0.667,201.062,0.167,"4,825.49",0,2,166.67,0.25,384,2,1,0,2
6.563,0.622,137.716,2,32,15,9,"9,000",0,0,0,0.469,176.715,0.281,"5,654.87",1,2,281.25,0.6,480,2,2,0,2
6.105,0.013,74.587,2,26,18,5,"5,000",0,0,0,0.692,254.469,0.192,"6,616.19",1,2,192.31,0.278,468,2,2,0,2
8.09,-1.896,180.219,1,23,8,2.2,"2,200",0,1,0,0.348,50.265,0.096,"1,156.11",2,2,95.65,0.275,184,1,1,1,2
7.506,-2.877,265.134,2,19,14,1.8,"1,800",0,1,0,0.737,153.938,0.095,"2,924.82",2,2,94.74,0.129,266,1,1,1,2
8.148,-2.089,143.376,1,22,18,2.7,"2,700",0,1,0,0.818,254.469,0.123,"5,598.32",2,2,122.73,0.15,396,1,1,1,2
6.213,0.193,99.071,2,32,19,8,"8,000",0,0,0,0.594,283.529,0.25,"9,072.92",1,2,250,0.421,608,2,2,0,2
10.842,-1.032,209.334,1,8.5,21.1,8.8,735,1,0,0,2.482,349.667,1.035,"2,972.17",1,2,86.47,0.417,179.35,0,0,1,2
6.227,0.183,109.017,2,38,24,9,"9,000",0,0,0,0.632,452.389,0.237,"17,190.80",1,2,236.84,0.375,912,2,2,0,2
8.236,-1.928,136.211,1,22,14,2.8,"2,800",0,1,0,0.636,153.938,0.127,"3,386.64",2,2,127.27,0.2,308,1,1,1,2
10.358,-2.237,334.955,0,12,25.7,12,"1,210",0,1,1,2.142,518.748,1,"6,224.97",2,3,100.83,0.467,308.4,1,0,1,2
6.529,0.714,93.775,1,32,12,8,"8,000",0,1,0,0.375,113.097,0.25,"3,619.12",2,2,250,0.667,384,2,2,1,2
6.148,0.224,58.753,2,28,17,3,"3,000",0,0,0,0.607,226.98,0.107,"6,355.44",1,2,107.14,0.176,476,2,2,0,2
8.151,-2.097,152.487,1,19,13,2.8,"2,800",0,1,0,0.684,132.732,0.147,"2,521.91",2,1,147.37,0.215,247,1,1,1,2
6.511,0.717,103.595,2,27,18,4,"4,000",0,0,0,0.667,254.469,0.148,"6,870.66",1,2,148.15,0.222,486,2,2,0,2
6.499,0.722,115.431,2,31,13,8,"8,000",0,0,0,0.419,132.732,0.258,"4,114.70",1,2,258.06,0.615,403,2,2,0,2
10.843,-1.033,216.889,1,20,10,10.4,"1,100",1,0,0,0.5,78.54,0.52,"1,570.80",1,2,55,1.04,200,1,1,1,2
